Draw Date,Results,Bonus,Jackpot,Outcome
2013 July 6,"['21', '23', '24', '33', '38', '44']",45,"$19,733,070.80",Won
2013 July 3,"['16', '17', '19', '22', '40', '43']",10,"$14,932,222.40",Roll
2013 June 29,"['4', '11', '12', '14', '25', '37']",36,"$11,021,536.50",Roll
2013 June 26,"['1', '3', '23', '33', '40', '48']",42,"$6,667,226.90",Roll
2013 June 22,"['3', '4', '5', '12', '23', '33']",27,"$3,132,321.60",Roll
2013 June 19,"['8', '23', '25', '28', '34', '39']",47,"$15,222,777.40",Won
2013 June 15,"['5', '8', '13', '14', '17', '30']", 1,"$10,999,892.10",Roll
2013 June 12,"['4', '8', '16', '25', '33', '36']",21,"$7,041,762.40",Roll
2013 June 8,"['8', '11', '19', '42', '46', '47']",27,"$3,584,790.20",Roll
2013 June 5,"['5', '15', '19', '31', '42', '47']",20,"$7,111,225.80",Won
2013 June 1,"['2', '7', '24', '37', '38', '40']", 9,"$3,572,611.90",Roll
2013 May 29,"['21', '28', '34', '35', '48', '49']",18,"$3,351,961.40",Won
2013 May 25,"['9', '17', '32', '41', '42', '44']", 3,"$11,615,207.20",Won
2013 May 22,"['1', '20', '24', '33', '37', '43']",42,"$7,303,170.10",Roll
2013 May 18,"['5', '24', '26', '28', '33', '45']",31,"$3,695,139.60",Roll
2013 May 15,"['11', '14', '21', '24', '25', '43']",12,"$3,226,611.60",Won
2013 May 11,"['2', '10', '16', '21', '24', '49']",30,"$17,026,623.50",Won
2013 May 8,"['12', '21', '23', '24', '38', '46']",36,"$12,026,612.40",Roll
2013 May 4,"['8', '9', '13', '22', '35', '36']", 6,"$7,872,319.50",Roll
2013 May 1,"['1', '2', '32', '33', '38', '49']",42,"$3,579,083.70",Roll
2013 April 27,"['9', '28', '35', '36', '48', '49']", 6,"$17,443,273.50",Won
2013 April 24,"['10', '20', '30', '38', '41', '44']",15,"$12,218,129.80",Roll
2013 April 20,"['1', '10', '11', '19', '21', '41']",27,"$7,770,186",Roll
2013 April 17,"['18', '25', '26', '41', '45', '49']",23,"$3,622,124.80",Roll
2013 April 13,"['2', '10', '17', '19', '44', '47']",40,"$63,413,885.20",Won
2013 April 10,"['1', '9', '12', '29', '30', '42']",22,"$44,656,345.60",Roll
2013 April 6,"['11', '19', '27', '28', '30', '39']",21,"$36,659,321.40",Roll
2013 April 3,"['20', '26', '27', '32', '36', '46']",49,"$30,308,021.10",Roll
2013 March 30,"['26', '30', '34', '35', '38', '41']",48,"$24,847,800.40",Roll
2013 March 27,"['2', '8', '11', '26', '27', '33']",17,"$19,401,290.60",Roll
2013 March 23,"['1', '2', '7', '10', '33', '38']",13,"$15,016,744.90",Roll
2013 March 20,"['9', '14', '24', '43', '45', '46']",22,"$10,810,020.20",Roll
2013 March 16,"['4', '14', '16', '25', '45', '47']",27,"$6,887,917.20",Roll
2013 March 13,"['1', '4', '11', '16', '26', '46']",31,"$3,043,447.30",Roll
2013 March 9,"['15', '18', '24', '28', '29', '49']", 2,"$7,019,742.70",Won
2013 March 6,"['1', '5', '14', '27', '30', '41']", 3,"$3,109,159.40",Roll
2013 March 2,"['6', '29', '31', '33', '40', '43']",48,"$30,000,000",Won
2013 February 27,"['11', '15', '19', '25', '34', '39']",22,"$21,447,620.60",Roll
2013 February 23,"['4', '12', '19', '21', '26', '41']",40,"$16,403,983.30",Roll
2013 February 20,"['23', '31', '41', '45', '46', '49']", 3,"$11,634,302.60",Roll
2013 February 16,"['3', '5', '13', '33', '34', '44']", 8,"$7,568,791.60",Roll
2013 February 13,"['17', '18', '21', '25', '35', '47']",16,"$3,600,936.40",Roll
2013 February 9,"['7', '17', '30', '33', '42', '49']",40,"$3,793,034.70",Won
2013 February 6,"['4', '18', '23', '25', '39', '43']", 7,"$11,062,987.80",Won
2013 February 2,"['4', '15', '22', '27', '29', '31']",47,"$7,085,216.10",Roll
2013 January 30,"['1', '14', '21', '23', '29', '46']",26,"$3,181,428.80",Roll
2013 January 26,"['23', '27', '35', '40', '43', '44']",13,"$3,544,148.70",Won
2013 January 23,"['2', '5', '16', '25', '30', '40']",19,"$3,000,000",Won
2013 January 19,"['1', '4', '6', '13', '20', '44']",28,"$3,316,843.20",Won
2013 January 16,"['14', '21', '27', '34', '37', '38']",10,"$15,689,035.70",Roll
2013 January 12,"['6', '16', '29', '30', '33', '36']",15,"$11,408,254.80",Roll
2013 January 9,"['14', '17', '33', '34', '43', '44']", 5,"$7,216,469.30",Roll
2013 January 5,"['24', '29', '34', '36', '41', '42']",45,"$3,628,350",Roll
2013 January 2,"['10', '14', '15', '39', '43', '49']", 9,"$3,463,163.60",Won
2014 December 31,"['6', '7', '8', '29', '35', '45']",12,"$12,792,511.30",Roll
2014 December 27,"['7', '22', '26', '27', '42', '47']",28,"$8,610,471.20",Roll
2014 December 24,"['1', '3', '21', '24', '31', '46']",30,"$5,575,524.50",Roll
2014 December 20,"['9', '17', '22', '35', '38', '43']",15,"$5,000,000",Won
2014 December 17,"['2', '5', '15', '20', '38', '39']",35,"$7,038,734.40",Won
2014 December 13,"['14', '23', '25', '31', '33', '38']", 5,"$5,000,000",Roll
2014 December 10,"['1', '2', '7', '16', '27', '30']",18,"$7,000,000",Won
2014 December 6,"['15', '17', '18', '19', '34', '44']",10,"$5,000,000",Roll
2014 December 3,"['1', '3', '4', '24', '28', '36']", 6,"$29,981,864.40",Won
2014 November 29,"['9', '20', '24', '26', '43', '47']",45,"$25,356,897.40",Roll
2014 November 26,"['5', '10', '11', '12', '32', '33']",39,"$20,900,536.40",Roll
2014 November 22,"['5', '7', '20', '24', '37', '49']",32,"$17,005,154",Roll
2014 November 19,"['5', '7', '20', '25', '36', '46']",24,"$13,308,336.50",Roll
2014 November 15,"['1', '3', '23', '35', '41', '46']",18,"$10,136,196.10",Roll
2014 November 12,"['2', '17', '20', '41', '42', '44']", 4,"$7,000,000",Roll
